date,open,high,low,close,adj_close,range_over_open,range_change,range_move,price_change,tomo_price_move,volume,qty_change,qty_move,5d_avg_range,change_in_5d_avg_range,5d_avg_range_move,5d_avg_px,change_in_5d_avg_px,5d_avg_px_move,5d_avg_qty,change_in_5d_avg_qty,5d_avg_qty_move,10d_avg_px,change_in_10d_avg_px,10d_avg_px_move
4/20/2015,0.535,0.535,0.52,0.52,0.52,0.028037383,-0.010057855,Down,-0.02,Flat,374120,-173670,Down,0.026121529,0.001869159,Up,0.534,-0.004,Down,562333,-38337.6,Down,0.5365,-0.0035,Down
4/21/2015,0.525,0.53,0.52,0.52,0.52,0.019047619,-0.008989764,Down,0,Flat,651198,277078,Up,0.028079201,0.001957672,Up,0.53,-0.004,Down,618294,55961,Up,0.534,-0.0025,Down
4/22/2015,0.52,0.53,0.52,0.52,0.52,0.019230769,0.00018315,Up,0,Down,392390,-258808,Down,0.028221651,0.00014245,Up,0.526,-0.004,Down,511622.2,-106671.8,Down,0.532,-0.002,Down
4/23/2015,0.52,0.52,0.51,0.51,0.51,0.019230769,0,Flat,-0.01,Down,1425194,1032804,Up,0.024728356,-0.003493296,Down,0.522,-0.004,Down,678138.4,166516.2,Up,0.5295,-0.0025,Down
4/24/2015,0.51,0.51,0.49,0.505,0.505,0.039215686,0.019984917,Up,-0.005,Flat,1066155,-359039,Down,0.024952445,0.00022409,Up,0.515,-0.007,Down,781811.4,103673,Up,0.5265,-0.003,Down
4/27/2015,0.505,0.51,0.5,0.505,0.505,0.01980198,-0.019413706,Down,0,Down,220868,-845287,Down,0.023305365,-0.001647081,Down,0.512,-0.003,Down,751161,-30650.4,Down,0.523,-0.0035,Down
4/28/2015,0.5,0.5,0.475,0.48,0.48,0.05,0.03019802,Up,-0.025,Down,486072,265204,Up,0.029495841,0.006190476,Up,0.504,-0.008,Down,718135.8,-33025.2,Down,0.517,-0.006,Down
4/29/2015,0.485,0.485,0.475,0.475,0.475,0.020618557,-0.029381443,Down,-0.005,Up,216411,-269661,Down,0.029773398,0.000277557,Up,0.495,-0.009,Down,682940,-35195.8,Down,0.5105,-0.0065,Down
4/30/2015,0.475,0.5,0.475,0.5,0.5,0.052631579,0.032013022,Up,0.025,Flat,531816,315405,Up,0.03645356,0.006680162,Up,0.493,-0.002,Down,504264.4,-178675.6,Down,0.5075,-0.003,Down
5/1/2015,0.5,0.5,0.495,0.5,0.5,0.01,-0.042631579,Down,0,Up,797093,265277,Up,0.030610423,-0.005843137,Down,0.492,-0.001,Down,450452,-53812.4,Down,0.5035,-0.004,Down
5/4/2015,0.505,0.51,0.5,0.51,0.51,0.01980198,0.00980198,Up,0.01,Down,130986,-666107,Down,0.030610423,0,Flat,0.493,0.001,Up,432475.6,-17976.4,Down,0.5025,-0.001,Down
5/5/2015,0.51,0.51,0.5,0.505,0.505,0.019607843,-0.000194137,Down,-0.005,Flat,1682400,1551414,Up,0.024531992,-0.006078431,Down,0.498,0.005,Up,671741.2,239265.6,Up,0.501,-0.0015,Down
5/6/2015,0.5,0.505,0.5,0.505,0.505,0.01,-0.009607843,Down,0,Down,2235391,552991,Up,0.02240828,-0.002123711,Down,0.504,0.006,Up,1075537.2,403796,Up,0.4995,-0.0015,Down
5/7/2015,0.505,0.505,0.49,0.5,0.5,0.02970297,0.01970297,Up,-0.005,Down,804209,-1431182,Down,0.017822559,-0.004585722,Down,0.504,0,Flat,1130015.8,54478.6,Up,0.4985,-0.001,Down
5/8/2015,0.5,0.505,0.495,0.495,0.495,0.02,-0.00970297,Down,-0.005,Up,146993,-657216,Down,0.019822559,0.002,Up,0.503,-0.001,Down,999995.8,-130020,Down,0.4975,-0.001,Down
5/11/2015,0.5,0.5,0.49,0.5,0.5,0.02,0,Flat,0.005,Down,164626,17633,Up,0.019862163,3.9604E-05,Up,0.501,-0.002,Down,1006723.8,6728,Up,0.497,-0.0005,Down
5/12/2015,0.495,0.51,0.48,0.485,0.485,0.060606061,0.040606061,Up,-0.015,Down,197408,32782,Up,0.028061806,0.008199643,Up,0.497,-0.004,Down,709725.4,-296998.4,Down,0.4975,0.0005,Up
5/13/2015,0.48,0.5,0.465,0.465,0.465,0.072916667,0.012310606,Up,-0.02,Up,420992,223584,Up,0.04064514,0.012583333,Up,0.489,-0.008,Down,346845.6,-362879.8,Down,0.4965,-0.001,Down
5/14/2015,0.475,0.49,0.47,0.475,0.475,0.042105263,-0.030811404,Down,0.01,Down,828299,407307,Up,0.043125598,0.002480459,Up,0.484,-0.005,Down,351663.6,4818,Up,0.494,-0.0025,Down
5/15/2015,0.48,0.49,0.465,0.465,0.465,0.052083333,0.00997807,Up,-0.01,Up,313746,-514553,Down,0.049542265,0.006416667,Up,0.478,-0.006,Down,385014.2,33350.6,Up,0.4905,-0.0035,Down
5/18/2015,0.48,0.48,0.47,0.47,0.47,0.020833333,-0.03125,Down,0.005,Up,200098,-113648,Down,0.049708931,0.000166667,Up,0.472,-0.006,Down,392108.6,7094.4,Up,0.4865,-0.004,Down
5/19/2015,0.48,0.49,0.475,0.49,0.49,0.03125,0.010416667,Up,0.02,Down,357477,157379,Up,0.043837719,-0.005871212,Down,0.473,0.001,Up,424122.4,32013.8,Up,0.485,-0.0015,Down
5/20/2015,0.485,0.485,0.48,0.48,0.48,0.010309278,-0.020940722,Down,-0.01,Down,340551,-16926,Down,0.031316242,-0.012521478,Down,0.476,0.003,Up,408034.2,-16088.2,Down,0.4825,-0.0025,Down
5/21/2015,0.48,0.48,0.47,0.475,0.475,0.020833333,0.010524055,Up,-0.005,Down,305175,-35376,Down,0.027061856,-0.004254386,Down,0.476,0,Flat,303409.4,-104624.8,Down,0.48,-0.0025,Down
